hrName,hrNo,meet,rating1,rating2,rating3,rating4
우박이,0028504,부산경남,54,55.0,57.0,58.0
애즈유원트,0028518,부산경남,69,85.0,,
여름새,0028520,부산경남,37,38.0,40.0,41.0
최강불패,0028521,부산경남,69,71.0,72.0,72.0
천지지존,0028526,부산경남,37,42.0,42.0,42.0
노벨신화,0028530,부산경남,42,44.0,46.0,48.0
매직댄서,0028533,부산경남,126,126.0,126.0,
판타스틱파크,0028542,부산경남,25,26.0,27.0,28.0
인디밴드,0028545,부산경남,102,122.0,125.0,
길상,0028548,부산경남,31,34.0,34.0,33.0
민아,0028558,부산경남,37,37.0,43.0,
노피어스,0028566,부산경남,72,73.0,75.0,76.0
알파트리플,0028576,부산경남,67,83.0,83.0,86.0
코러스원,0028581,부산경남,39,45.0,46.0,48.0
라이징파크,0028611,부산경남,68,84.0,84.0,84.0
할리,0028618,부산경남,107,,,
어필링스타,0028619,부산경남,103,103.0,,
트윙클스타,0028624,부산경남,41,48.0,,
가든파티,0028628,부산경남,21,21.0,23.0,24.0
간다이,0028633,부산경남,96,98.0,118.0,120.0
금포거루,0028634,부산경남,86,106.0,,
윈드레토,0028635,부산경남,53,64.0,64.0,64.0
금포지존,0028638,부산경남,21,21.0,23.0,24.0
라인업,0028676,부산경남,21,18.0,19.0,20.0
지상광풍,0028691,부산경남,55,66.0,67.0,68.0
샌드퀵,0028694,부산경남,81,101.0,102.0,
천년나래,0028705,부산경남,55,66.0,68.0,
신천강자,0028706,부산경남,57,69.0,71.0,72.0
기회만점,0028717,부산경남,86,86.0,,
람세스아실드,0028723,부산경남,81,101.0,101.0,
천년시대,0028735,부산경남,85,86.0,88.0,88.0
최신무적,0028753,부산경남,56,68.0,,
천행질주,0028759,부산경남,58,70.0,70.0,70.0
조광,0028774,부산경남,49,49.0,49.0,50.0
해피니스,0028775,부산경남,22,22.0,24.0,25.0
싱그러운친구,0028785,부산경남,47,48.0,51.0,53.0
알파플러스,0028787,부산경남,67,82.0,83.0,84.0
코리아킹,0028808,부산경남,32,32.0,33.0,33.0
비카골드,0028817,부산경남,81,101.0,104.0,104.0
아름다운도전,0028830,부산경남,71,88.0,89.0,92.0
헤라클레스,0028836,부산경남,25,26.0,28.0,28.0
행운만리,0028841,부산경남,37,43.0,45.0,46.0
코리아스타,0028858,부산경남,26,28.0,,
스피드맨,0028894,부산경남,57,69.0,,
멜로디선,0028903,부산경남,84,104.0,106.0,108.0
중앙최강,0028918,부산경남,50,50.0,50.0,50.0
왕설기,0028922,부산경남,55,67.0,68.0,68.0
코델리아,0028925,부산경남,27,29.0,31.0,32.0
