기수1,기수2,동반출전,동반입상,확률%
김태희,박태종,26,0,0.0
박태종,이용호,5,0,0.0
오수철,조상범,92,2,2.17
오수철,조한별,96,2,2.08
이용호,조상범,47,2,4.26
김태희,김효정,81,1,1.23
김태희,문정균,55,0,0.0
김태희,이혁,79,2,2.53
김태희,코지,55,5,9.09
김효정,박태종,39,5,12.82
김용근,푸르칸,107,13,12.15
김정준,이혁,96,3,3.12
김태희,푸르칸,63,4,6.35
마이아,박태종,17,2,11.76
박태종,푸르칸,13,0,0.0
이동하,푸르칸,81,4,4.94
이혁,푸르칸,69,2,2.9
조상범,푸르칸,98,3,3.06
김효정,오수철,84,1,1.19
김효정,푸르칸,78,2,2.56
씨씨웡,푸르칸,83,6,7.23
오수철,푸르칸,61,3,4.92
장추열,푸르칸,94,10,10.64
문정균,오수철,49,3,6.12
문정균,조인권,43,3,6.98
정정희,푸르칸,93,4,4.3
조인권,푸르칸,30,4,13.33
김옥성,이동하,51,1,1.96
김옥성,푸르칸,37,0,0.0
김철호,푸르칸,48,4,8.33
김아현,김태희,21,0,0.0
